Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3310080086,00000125,false,Rx,1,6,00,00,00,05,09,84,00,00
3310081182,00000165,false,Rx,1,8,01,F4,00,00,00,00,09,6B
3310085105,00000130,false,Rx,1,7,80,00,01,43,90,0A,88,00
3310087352,00000110,false,Rx,1,5,91,00,00,0B,1B,00,00,00
3310087574,00000115,false,Rx,1,7,80,00,80,00,00,0B,AC,00
3310088138,00000120,false,Rx,1,8,00,04,84,B0,00,00,0A,11
3310090085,00000125,false,Rx,1,6,00,00,00,05,0A,A3,00,00
3310091181,00000165,false,Rx,1,8,01,F4,00,00,00,00,0A,4C
3310095112,00000130,false,Rx,1,7,80,00,01,43,90,0B,95,00
3310097360,00000145,false,Rx,1,8,01,00,00,00,40,00,14,00
3310097544,00000110,false,Rx,1,5,91,00,00,0C,48,00,00,00
3310097767,00000115,false,Rx,1,7,80,00,80,00,00,0C,FF,00
3310098153,00000120,false,Rx,1,8,00,04,84,B0,00,00,0B,0C
3310100087,00000125,false,Rx,1,6,00,00,00,05,0B,BE,00,00
3310101183,00000165,false,Rx,1,8,01,F4,00,00,00,00,0B,51
3310105114,00000130,false,Rx,1,7,80,00,01,42,90,0C,49,00
3310107385,00000110,false,Rx,1,5,91,00,00,0D,55,00,00,00
3310107613,00000115,false,Rx,1,7,80,00,80,00,00,0D,E2,00
3310108147,00000120,false,Rx,1,8,00,04,84,B0,00,00,0C,5F
3310110086,00000125,false,Rx,1,6,00,00,00,05,0C,ED,00,00
3310111183,00000165,false,Rx,1,8,01,F4,00,00,00,00,0C,02
3310115113,00000130,false,Rx,1,7,80,00,01,43,90,0D,DB,00
3310117415,00000110,false,Rx,1,5,91,00,00,0E,72,00,00,00
3310117635,00000115,false,Rx,1,7,80,00,80,00,00,0E,C5,00
3310118146,00000120,false,Rx,1,8,00,04,84,B0,00,00,0D,42
3310120094,00000125,false,Rx,1,6,00,00,00,05,0D,F0,00,00
3310121191,00000165,false,Rx,1,8,01,F4,00,00,00,00,0D,1F
3310125113,00000130,false,Rx,1,7,80,00,01,43,90,0E,FC,00
3310127423,00000110,false,Rx,1,5,91,00,00,0F,6F,00,00,00
3310127651,00000115,false,Rx,1,7,80,00,80,00,00,0F,D8,00
3310128146,00000120,false,Rx,1,8,00,04,84,B0,00,00,0E,65
3310130086,00000125,false,Rx,1,6,00,00,00,05,0E,D7,00,00
3310131191,00000165,false,Rx,1,8,01,F4,00,00,00,00,0E,38
3310135113,00000130,false,Rx,1,7,80,00,01,43,90,0F,E1,00
3310137462,00000110,false,Rx,1,5,91,00,00,00,D4,00,00,00
3310137690,00000115,false,Rx,1,7,80,00,80,00,00,00,63,00
3310138147,00000120,false,Rx,1,8,00,04,84,B0,00,00,0F,78
3310140085,00000125,false,Rx,1,6,00,00,00,05,0F,CA,00,00
3310141182,00000165,false,Rx,1,8,01,F4,00,00,00,00,0F,25
3310145113,00000130,false,Rx,1,7,80,00,01,42,90,00,D5,00
3310147454,00000110,false,Rx,1,5,91,00,00,01,C9,00,00,00
3310147682,00000115,false,Rx,1,7,80,00,80,00,00,01,7E,00
3310148146,00000120,false,Rx,1,8,00,04,84,B0,00,00,00,C3
3310150093,00000125,false,Rx,1,6,00,00,00,05,00,71,00,00
3310151190,00000165,false,Rx,1,8,01,F4,00,00,00,00,00,9E
3310155112,00000130,false,Rx,1,7,80,00,01,43,90,01,47,00
3310157352,00000135,false,Rx,1,8,08,00,34,00,00,00,00,00
3310157543,00000110,false,Rx,1,5,91,00,00,02,EE,00,00,00
3310157759,00000115,false,Rx,1,7,80,00,80,00,00,02,59,00
3310158161,00000120,false,Rx,1,8,00,04,84,B0,00,00,01,DE
3310160102,00000125,false,Rx,1,6,00,00,00,05,01,6C,00,00
3310161206,00000165,false,Rx,1,8,01,F4,00,00,00,00,01,83
3310165121,00000130,false,Rx,1,7,80,00,01,43,90,02,60,00
3310167493,00000110,false,Rx,1,5,91,00,00,03,F3,00,00,00
3310167715,00000115,false,Rx,1,7,80,00,80,00,00,03,44,00
3310168155,00000120,false,Rx,1,8,00,04,84,B0,00,00,02,F9
3310170102,00000125,false,Rx,1,6,00,00,00,05,02,4B,00,00
3310171199,00000165,false,Rx,1,8,01,F4,00,00,00,00,02,A4
3310175128,00000130,false,Rx,1,7,80,00,01,43,90,03,7D,00
3310177531,00000110,false,Rx,1,5,91,00,00,04,A0,00,00,00
3310177754,00000115,false,Rx,1,7,80,00,80,00,00,04,17,00
3310178163,00000120,false,Rx,1,8,00,04,84,B0,00,00,03,E4
3310180096,00000125,false,Rx,1,6,00,00,00,05,03,56,00,00
3310181200,00000165,false,Rx,1,8,01,F4,00,00,00,00,03,B9
3310185122,00000130,false,Rx,1,7,80,00,01,42,90,04,A1,00
3310187525,00000110,false,Rx,1,5,91,00,00,05,BD,00,00,00
3310187747,00000115,false,Rx,1,7,80,00,80,00,00,05,0A,00
3310188156,00000120,false,Rx,1,8,00,04,84,B0,00,00,04,B7
3310190103,00000125,false,Rx,1,6,00,00,00,05,04,05,00,00
3310191200,00000165,false,Rx,1,8,01,F4,00,00,00,00,04,EA
3310195137,00000130,false,Rx,1,7,80,00,01,43,90,05,33,00
3310197556,00000110,false,Rx,1,5,91,00,00,06,9A,00,00,00
3310197778,00000115,false,Rx,1,7,80,00,80,00,00,06,2D,00
3310198172,00000120,false,Rx,1,8,00,04,84,B0,00,00,05,AA
3310200103,00000125,false,Rx,1,6,00,00,00,05,05,18,00,00
3310201200,00000165,false,Rx,1,8,01,F4,00,00,00,00,05,F7
3310205129,00000130,false,Rx,1,7,80,00,01,43,90,06,14,00
3310207556,00000110,false,Rx,1,5,91,00,00,07,87,00,00,00
3310207778,00000115,false,Rx,1,7,80,00,80,00,00,07,30,00
3310208171,00000120,false,Rx,1,8,00,04,84,B0,00,00,06,8D
3310210103,00000125,false,Rx,1,6,00,00,00,05,06,3F,00,00
3310211200,00000165,false,Rx,1,8,01,F4,00,00,00,00,06,D0
3310215129,00000130,false,Rx,1,7,80,00,01,42,90,07,86,00
3310217586,00000110,false,Rx,1,5,91,00,00,08,3C,00,00,00
3310217808,00000115,false,Rx,1,7,80,00,80,00,00,08,8B,00
3310218171,00000120,false,Rx,1,8,00,04,84,B0,00,00,07,90
3310220103,00000125,false,Rx,1,6,00,00,00,05,07,22,00,00
3310221200,00000165,false,Rx,1,8,01,F4,00,00,00,00,07,CD
3310225136,00000130,false,Rx,1,7,80,00,01,44,90,08,38,00
