Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3128866779,130,FALSE,Rx,0,7,80,0,1,41,90,0C,C5,0
3128868763,110,FALSE,Rx,0,5,91,0,0,0D,55,0,0,0
3128868986,115,FALSE,Rx,0,7,80,0,80,0,0,0D,E2,0
3128869813,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0C,5F
3128871760,125,FALSE,Rx,0,6,0,0,0,5,0C,ED,0,0
3128872856,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0C,2
3128876780,130,FALSE,Rx,0,7,80,0,1,42,90,0D,54,0
3128878779,110,FALSE,Rx,0,5,91,0,0,0E,72,0,0,0
3128879002,115,FALSE,Rx,0,7,80,0,80,0,0,0E,C5,0
3128879241,135,FALSE,Rx,0,8,8,0,34,0,0,0,0,0
3128879813,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0D,42
3128881762,125,FALSE,Rx,0,6,0,0,0,5,0D,F0,0,0
3128882860,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0D,1F
3128886777,130,FALSE,Rx,0,7,80,0,1,42,90,0E,73,0
3128888800,110,FALSE,Rx,0,5,91,0,0,0F,6F,0,0,0
3128889023,115,FALSE,Rx,0,7,80,0,80,0,0,0F,D8,0
3128889810,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0E,65
3128891757,125,FALSE,Rx,0,6,0,0,0,5,0E,D7,0,0
3128892853,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0E,38
3128896779,130,FALSE,Rx,0,7,80,0,1,42,90,0F,6E,0
3128898810,110,FALSE,Rx,0,5,91,0,0,0,D4,0,0,0
3128899032,115,FALSE,Rx,0,7,80,0,80,0,0,0,63,0
3128899812,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0F,78
3128901759,125,FALSE,Rx,0,6,0,0,0,5,0F,CA,0,0
3128902857,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0F,25
3128906783,130,FALSE,Rx,0,7,80,0,1,42,90,0,D5,0
3128908814,110,FALSE,Rx,0,5,91,0,0,1,C9,0,0,0
